record_id,affiliation_type,audience_segment
2,Graduate Student,Student
3,Graduate Student,Student
4,Graduate Student,Student
5,Graduate Student,Student
6,Graduate Student,Student
7,Graduate Student,Student
8,Faculty,Faculty/Staff
8,Community Member,Faculty/Staff
9,Graduate Student,Student
10,Faculty,Faculty/Staff
10,Community Member,Faculty/Staff
11,Staff,Faculty/Staff
11,Community Member,Faculty/Staff
12,Community Member,Community
12,Donor,Community
13,Faculty,Faculty/Staff
13,Community Member,Faculty/Staff
14,Visitor,Other
14,Other,Other
15,Donor,Other
16,Faculty,Faculty/Staff
17,Graduate Student,Student
17,Donor,Student
17,Visitor,Student
18,Community Member,Community
18,Visitor,Community
18,Other,Community
19,Staff,Faculty/Staff
19,Community Member,Faculty/Staff
19,Visitor,Faculty/Staff
20,Staff,Faculty/Staff
21,Undergraduate Student,Student
22,Staff,Faculty/Staff
23,Staff,Faculty/Staff
23,Community Member,Faculty/Staff
23,Visitor,Faculty/Staff
24,Faculty,Faculty/Staff
25,Faculty,Faculty/Staff
26,Faculty,Faculty/Staff
27,Faculty,Faculty/Staff
27,Donor,Faculty/Staff
28,Undergraduate Student,Student
29,Graduate Student,Student
29,Staff,Student
29,Community Member,Student
30,Faculty,Faculty/Staff
31,Staff,Faculty/Staff
31,KCPA Staff,Faculty/Staff
31,Community Member,Faculty/Staff
31,Donor,Faculty/Staff
31,Visitor,Faculty/Staff
32,Undergraduate Student,Student
33,Faculty,Faculty/Staff
34,Staff,Faculty/Staff
34,Donor,Faculty/Staff
35,Faculty,Faculty/Staff
35,Community Member,Faculty/Staff
35,Visitor,Faculty/Staff
36,Staff,Faculty/Staff
36,Community Member,Faculty/Staff
36,Visitor,Faculty/Staff
37,Staff,Faculty/Staff
37,Community Member,Faculty/Staff
38,Staff,Faculty/Staff
39,Faculty,Faculty/Staff
40,Staff,Faculty/Staff
40,Community Member,Faculty/Staff
40,Visitor,Faculty/Staff
41,Staff,Faculty/Staff
41,Visitor,Faculty/Staff
42,Staff,Faculty/Staff
42,Community Member,Faculty/Staff
43,Faculty,Faculty/Staff
44,Staff,Faculty/Staff
44,Visitor,Faculty/Staff
45,Staff,Faculty/Staff
45,Visitor,Faculty/Staff
46,Staff,Faculty/Staff
47,Faculty,Faculty/Staff
47,Community Member,Faculty/Staff
48,Staff,Faculty/Staff
48,Other,Faculty/Staff
49,Staff,Faculty/Staff
50,Staff,Faculty/Staff
50,Community Member,Faculty/Staff
50,Visitor,Faculty/Staff
51,Graduate Student,Student
51,Community Member,Student
51,Donor,Student
51,Visitor,Student
52,Staff,Faculty/Staff
53,KCPA Staff,Other
54,Staff,Faculty/Staff
55,Staff,Faculty/Staff
56,KCPA Staff,Other
57,Staff,Faculty/Staff
57,Community Member,Faculty/Staff
57,Donor,Faculty/Staff
58,Staff,Faculty/Staff
59,Staff,Faculty/Staff
59,Community Member,Faculty/Staff
60,KCPA Staff,Other
61,Staff,Faculty/Staff
62,Staff,Faculty/Staff
63,Staff,Faculty/Staff
64,Staff,Faculty/Staff
64,Other,Faculty/Staff
65,Staff,Faculty/Staff
66,Staff,Faculty/Staff
