record_id,attend_reason,audience_segment
2,Atmosphere/ambiance,Student
3,Quality of performances,Student
3,Convenient location,Student
3,Atmosphere/ambiance,Student
7,Quality of performances,Student
7,Variety of programming,Student
7,Convenient location,Student
7,Community engagement,Student
8,Quality of performances,Faculty/Staff
8,Convenient location,Faculty/Staff
8,Atmosphere/ambiance,Faculty/Staff
9,Quality of performances,Student
9,Variety of programming,Student
9,Atmosphere/ambiance,Student
10,Quality of performances,Faculty/Staff
10,Convenient location,Faculty/Staff
10,Atmosphere/ambiance,Faculty/Staff
10,Community engagement,Faculty/Staff
11,Atmosphere/ambiance,Faculty/Staff
12,Quality of performances,Community
12,Convenient location,Community
13,Quality of performances,Faculty/Staff
13,Convenient location,Faculty/Staff
13,Atmosphere/ambiance,Faculty/Staff
14,Quality of performances,Other
14,Variety of programming,Other
15,Quality of performances,Other
15,Convenient location,Other
15,Community engagement,Other
16,Quality of performances,Faculty/Staff
16,Convenient location,Faculty/Staff
16,Community engagement,Faculty/Staff
17,Quality of performances,Student
17,Variety of programming,Student
17,Convenient location,Student
17,Community engagement,Student
18,Quality of performances,Community
18,Variety of programming,Community
18,Convenient location,Community
18,Atmosphere/ambiance,Community
18,Community engagement,Community
19,Quality of performances,Faculty/Staff
19,Atmosphere/ambiance,Faculty/Staff
19,Social connection,Faculty/Staff
19,Learning/education,Faculty/Staff
19,Community engagement,Faculty/Staff
20,Quality of performances,Faculty/Staff
20,Community engagement,Faculty/Staff
21,Quality of performances,Student
22,Quality of performances,Faculty/Staff
22,Community engagement,Faculty/Staff
23,Quality of performances,Faculty/Staff
23,Convenient location,Faculty/Staff
23,Social connection,Faculty/Staff
23,Community engagement,Faculty/Staff
24,Quality of performances,Faculty/Staff
24,Atmosphere/ambiance,Faculty/Staff
25,Quality of performances,Faculty/Staff
25,Variety of programming,Faculty/Staff
25,Convenient location,Faculty/Staff
25,Atmosphere/ambiance,Faculty/Staff
25,Community engagement,Faculty/Staff
26,Quality of performances,Faculty/Staff
26,Variety of programming,Faculty/Staff
26,Convenient location,Faculty/Staff
26,Atmosphere/ambiance,Faculty/Staff
26,Social connection,Faculty/Staff
26,Community engagement,Faculty/Staff
27,Quality of performances,Faculty/Staff
27,Convenient location,Faculty/Staff
27,Atmosphere/ambiance,Faculty/Staff
27,Community engagement,Faculty/Staff
28,Affordable price,Student
29,Quality of performances,Student
29,Convenient location,Student
29,Community engagement,Student
30,Quality of performances,Faculty/Staff
30,Convenient location,Faculty/Staff
31,Quality of performances,Faculty/Staff
31,Convenient location,Faculty/Staff
31,Community engagement,Faculty/Staff
33,Quality of performances,Faculty/Staff
33,Variety of programming,Faculty/Staff
33,Convenient location,Faculty/Staff
33,Atmosphere/ambiance,Faculty/Staff
33,Community engagement,Faculty/Staff
34,Quality of performances,Faculty/Staff
34,Variety of programming,Faculty/Staff
34,Convenient location,Faculty/Staff
34,Atmosphere/ambiance,Faculty/Staff
34,Social connection,Faculty/Staff
34,Learning/education,Faculty/Staff
34,Community engagement,Faculty/Staff
35,Quality of performances,Faculty/Staff
35,Variety of programming,Faculty/Staff
35,Convenient location,Faculty/Staff
35,Atmosphere/ambiance,Faculty/Staff
35,Social connection,Faculty/Staff
35,Community engagement,Faculty/Staff
36,Quality of performances,Faculty/Staff
36,Atmosphere/ambiance,Faculty/Staff
36,Social connection,Faculty/Staff
36,Community engagement,Faculty/Staff
37,Quality of performances,Faculty/Staff
37,Variety of programming,Faculty/Staff
37,Convenient location,Faculty/Staff
38,Quality of performances,Faculty/Staff
38,Convenient location,Faculty/Staff
38,Atmosphere/ambiance,Faculty/Staff
38,Social connection,Faculty/Staff
38,Community engagement,Faculty/Staff
39,Quality of performances,Faculty/Staff
39,Atmosphere/ambiance,Faculty/Staff
40,Quality of performances,Faculty/Staff
40,Convenient location,Faculty/Staff
40,Atmosphere/ambiance,Faculty/Staff
40,Social connection,Faculty/Staff
40,Community engagement,Faculty/Staff
41,Quality of performances,Faculty/Staff
41,Convenient location,Faculty/Staff
41,Atmosphere/ambiance,Faculty/Staff
42,Quality of performances,Faculty/Staff
42,Variety of programming,Faculty/Staff
42,Convenient location,Faculty/Staff
42,Community engagement,Faculty/Staff
43,Quality of performances,Faculty/Staff
43,Variety of programming,Faculty/Staff
43,Convenient location,Faculty/Staff
43,Social connection,Faculty/Staff
43,Community engagement,Faculty/Staff
45,Quality of performances,Faculty/Staff
45,Variety of programming,Faculty/Staff
45,Convenient location,Faculty/Staff
45,Social connection,Faculty/Staff
45,Community engagement,Faculty/Staff
46,Quality of performances,Faculty/Staff
46,Community engagement,Faculty/Staff
47,Quality of performances,Faculty/Staff
47,Community engagement,Faculty/Staff
48,Quality of performances,Faculty/Staff
48,Convenient location,Faculty/Staff
49,Quality of performances,Faculty/Staff
49,Convenient location,Faculty/Staff
50,Quality of performances,Faculty/Staff
50,Variety of programming,Faculty/Staff
50,Convenient location,Faculty/Staff
50,Atmosphere/ambiance,Faculty/Staff
50,Social connection,Faculty/Staff
50,Community engagement,Faculty/Staff
51,Quality of performances,Student
51,Variety of programming,Student
51,Convenient location,Student
51,Atmosphere/ambiance,Student
51,Social connection,Student
51,Community engagement,Student
52,Quality of performances,Faculty/Staff
52,Variety of programming,Faculty/Staff
52,Convenient location,Faculty/Staff
52,Atmosphere/ambiance,Faculty/Staff
52,Community engagement,Faculty/Staff
53,Quality of performances,Other
53,Convenient location,Other
53,Atmosphere/ambiance,Other
53,Social connection,Other
53,Learning/education,Other
53,Community engagement,Other
54,Quality of performances,Faculty/Staff
54,Convenient location,Faculty/Staff
54,Atmosphere/ambiance,Faculty/Staff
54,Community engagement,Faculty/Staff
56,Quality of performances,Other
56,Variety of programming,Other
56,Convenient location,Other
56,Social connection,Other
56,Community engagement,Other
57,Quality of performances,Faculty/Staff
57,Social connection,Faculty/Staff
58,Quality of performances,Faculty/Staff
58,Variety of programming,Faculty/Staff
58,Convenient location,Faculty/Staff
58,Atmosphere/ambiance,Faculty/Staff
58,Social connection,Faculty/Staff
59,Quality of performances,Faculty/Staff
59,Variety of programming,Faculty/Staff
59,Convenient location,Faculty/Staff
59,Community engagement,Faculty/Staff
60,Quality of performances,Other
60,Variety of programming,Other
60,Convenient location,Other
60,Atmosphere/ambiance,Other
60,Community engagement,Other
61,Quality of performances,Faculty/Staff
61,Variety of programming,Faculty/Staff
61,Convenient location,Faculty/Staff
61,Community engagement,Faculty/Staff
62,Quality of performances,Faculty/Staff
