record_id,barrier
4,Schedule conflict
5,Schedule conflict
5,Didn't know about events
5,Parking
32,Schedule conflict
44,Ticket price too high
44,Schedule conflict
44,Transportation
44,COVID-19 concerns
55,Not interested
55,Schedule conflict
79,Didn't know about events
90,Ticket price too high
90,Schedule conflict
90,Didn't know about events
97,Ticket price too high
97,Schedule conflict
141,Not interested
141,Ticket price too high
141,Schedule conflict
141,Didn't know about events
141,No one to go with
141,COVID-19 concerns
462,Ticket price too high
528,Parking
