record_id,communication_channel
2,Email newsletters
2,Social media
2,Word of mouth
3,Social media
3,Word of mouth
4,Social media
4,Word of mouth
5,Social media
5,Campus flyers/posters
6,Website
7,Website
7,Email newsletters
7,Campus flyers/posters
8,Website
9,Website
9,Email newsletters
10,Word of mouth
11,Word of mouth
12,Website
13,Email newsletters
14,Email newsletters
14,Social media
16,Website
16,Email newsletters
17,Website
18,Email newsletters
18,Social media
18,Word of mouth
19,Website
19,Email newsletters
19,Word of mouth
20,Word of mouth
21,Word of mouth
22,Website
22,Email newsletters
22,Word of mouth
23,Website
23,Social media
23,Other
24,Website
24,Word of mouth
25,Social media
25,Other
26,Website
26,Email newsletters
26,Campus flyers/posters
27,Website
27,Email newsletters
28,Campus flyers/posters
29,Website
29,Email newsletters
29,Word of mouth
30,Website
30,Email newsletters
31,Website
31,Email newsletters
31,Social media
32,Word of mouth
33,Website
34,Website
34,Word of mouth
34,Campus flyers/posters
35,Website
35,Email newsletters
35,Social media
35,Word of mouth
35,Campus flyers/posters
36,Website
37,Email newsletters
37,Social media
38,Website
38,Email newsletters
38,Social media
38,Word of mouth
39,Website
39,Email newsletters
40,Website
40,Email newsletters
40,Social media
40,Word of mouth
40,Campus flyers/posters
40,Other
41,Email newsletters
41,Word of mouth
41,Campus flyers/posters
42,Website
42,Email newsletters
42,Word of mouth
43,Website
43,Email newsletters
43,Social media
44,Website
44,Email newsletters
44,Word of mouth
44,Campus flyers/posters
45,Website
45,Social media
46,Website
46,Email newsletters
46,Word of mouth
47,Email newsletters
47,Word of mouth
48,Website
49,Website
49,Word of mouth
50,Website
50,Word of mouth
50,Campus flyers/posters
51,Email newsletters
52,Website
52,Email newsletters
52,Word of mouth
53,Website
53,Social media
53,Word of mouth
53,Campus flyers/posters
54,Website
54,Email newsletters
54,Word of mouth
55,Email newsletters
56,Email newsletters
56,Social media
56,Word of mouth
57,Website
57,Email newsletters
58,Website
58,Email newsletters
59,Email newsletters
59,Social media
60,Website
60,Email newsletters
61,Website
61,Email newsletters
61,Social media
62,Email newsletters
62,Social media
63,Email newsletters
64,Website
64,Email newsletters
64,Social media
65,Website
