record_id,event_type,audience_segment
2,Jazz,Student
3,Jazz,Student
6,Jazz,Student
7,Classical Music,Student
7,Jazz,Student
8,Dance,Faculty/Staff
8,Classical Music,Faculty/Staff
8,Jazz,Faculty/Staff
8,World Music,Faculty/Staff
9,Classical Music,Student
9,Lecture/Talk,Student
9,Workshop,Student
10,Jazz,Faculty/Staff
11,Workshop,Faculty/Staff
12,Classical Music,Community
12,Jazz,Community
13,Classical Music,Faculty/Staff
13,Jazz,Faculty/Staff
13,World Music,Faculty/Staff
14,Classical Music,Other
14,World Music,Other
15,Dance,Other
15,Jazz,Other
15,Workshop,Other
16,Jazz,Faculty/Staff
17,Classical Music,Student
17,Jazz,Student
17,World Music,Student
18,Classical Music,Community
18,Jazz,Community
18,Lecture/Talk,Community
19,Classical Music,Faculty/Staff
19,Jazz,Faculty/Staff
19,Opera,Faculty/Staff
19,Lecture/Talk,Faculty/Staff
20,Jazz,Faculty/Staff
21,Classical Music,Student
22,Classical Music,Faculty/Staff
22,Jazz,Faculty/Staff
22,Theater,Faculty/Staff
22,Lecture/Talk,Faculty/Staff
23,Jazz,Faculty/Staff
23,Workshop,Faculty/Staff
24,Jazz,Faculty/Staff
25,Classical Music,Faculty/Staff
25,Jazz,Faculty/Staff
26,Dance,Faculty/Staff
26,Classical Music,Faculty/Staff
26,Jazz,Faculty/Staff
26,World Music,Faculty/Staff
26,Opera,Faculty/Staff
26,Workshop,Faculty/Staff
27,Jazz,Faculty/Staff
27,World Music,Faculty/Staff
27,Lecture/Talk,Faculty/Staff
28,Dance,Student
29,Dance,Student
29,Classical Music,Student
29,Jazz,Student
29,Film,Student
29,Family/Youth,Student
30,Jazz,Faculty/Staff
31,Dance,Faculty/Staff
31,Classical Music,Faculty/Staff
31,Jazz,Faculty/Staff
31,World Music,Faculty/Staff
31,Theater,Faculty/Staff
31,Opera,Faculty/Staff
31,Lecture/Talk,Faculty/Staff
31,Workshop,Faculty/Staff
33,Dance,Faculty/Staff
33,Classical Music,Faculty/Staff
33,Jazz,Faculty/Staff
33,World Music,Faculty/Staff
33,Lecture/Talk,Faculty/Staff
34,Jazz,Faculty/Staff
34,World Music,Faculty/Staff
34,Opera,Faculty/Staff
34,Workshop,Faculty/Staff
35,Dance,Faculty/Staff
35,Classical Music,Faculty/Staff
35,Jazz,Faculty/Staff
35,Opera,Faculty/Staff
35,Lecture/Talk,Faculty/Staff
35,Workshop,Faculty/Staff
36,Dance,Faculty/Staff
36,Classical Music,Faculty/Staff
36,Jazz,Faculty/Staff
36,World Music,Faculty/Staff
36,Opera,Faculty/Staff
36,Workshop,Faculty/Staff
37,Classical Music,Faculty/Staff
37,Jazz,Faculty/Staff
37,Workshop,Faculty/Staff
38,Dance,Faculty/Staff
38,Classical Music,Faculty/Staff
38,Lecture/Talk,Faculty/Staff
38,Workshop,Faculty/Staff
39,Jazz,Faculty/Staff
40,Classical Music,Faculty/Staff
40,Jazz,Faculty/Staff
40,World Music,Faculty/Staff
40,Lecture/Talk,Faculty/Staff
40,Workshop,Faculty/Staff
41,Dance,Faculty/Staff
41,Classical Music,Faculty/Staff
41,Jazz,Faculty/Staff
42,Classical Music,Faculty/Staff
42,Jazz,Faculty/Staff
42,Lecture/Talk,Faculty/Staff
42,Workshop,Faculty/Staff
43,Classical Music,Faculty/Staff
43,Jazz,Faculty/Staff
43,World Music,Faculty/Staff
43,Workshop,Faculty/Staff
45,Dance,Faculty/Staff
45,Classical Music,Faculty/Staff
45,Jazz,Faculty/Staff
45,Workshop,Faculty/Staff
46,Jazz,Faculty/Staff
46,Workshop,Faculty/Staff
46,Family/Youth,Faculty/Staff
47,Dance,Faculty/Staff
47,Classical Music,Faculty/Staff
47,Jazz,Faculty/Staff
48,Classical Music,Faculty/Staff
48,Jazz,Faculty/Staff
48,World Music,Faculty/Staff
49,Dance,Faculty/Staff
49,Jazz,Faculty/Staff
50,Jazz,Faculty/Staff
50,World Music,Faculty/Staff
50,Theater,Faculty/Staff
50,Workshop,Faculty/Staff
51,Dance,Student
51,Classical Music,Student
51,Jazz,Student
51,World Music,Student
51,Theater,Student
51,Opera,Student
51,Film,Student
51,Lecture/Talk,Student
52,Dance,Faculty/Staff
52,Classical Music,Faculty/Staff
52,Jazz,Faculty/Staff
52,World Music,Faculty/Staff
53,Dance,Other
53,Classical Music,Other
53,Jazz,Other
53,World Music,Other
53,Theater,Other
53,Opera,Other
53,Film,Other
53,Lecture/Talk,Other
53,Workshop,Other
54,Classical Music,Faculty/Staff
54,Jazz,Faculty/Staff
54,World Music,Faculty/Staff
54,Theater,Faculty/Staff
54,Lecture/Talk,Faculty/Staff
54,Workshop,Faculty/Staff
56,Dance,Other
56,Classical Music,Other
56,Jazz,Other
56,World Music,Other
56,Opera,Other
56,Lecture/Talk,Other
56,Workshop,Other
57,Classical Music,Faculty/Staff
57,Jazz,Faculty/Staff
57,World Music,Faculty/Staff
58,Dance,Faculty/Staff
58,Classical Music,Faculty/Staff
58,Jazz,Faculty/Staff
58,Opera,Faculty/Staff
59,Jazz,Faculty/Staff
59,Lecture/Talk,Faculty/Staff
59,Workshop,Faculty/Staff
60,Jazz,Other
60,World Music,Other
60,Workshop,Other
61,Classical Music,Faculty/Staff
61,Jazz,Faculty/Staff
61,World Music,Faculty/Staff
62,Dance,Faculty/Staff
62,Jazz,Faculty/Staff
63,Dance,Faculty/Staff
63,Classical Music,Faculty/Staff
63,Jazz,Faculty/Staff
64,Classical Music,Faculty/Staff
64,Jazz,Faculty/Staff
64,Workshop,Faculty/Staff
65,Dance,Faculty/Staff
65,Classical Music,Faculty/Staff
65,Jazz,Faculty/Staff
65,Family/Youth,Faculty/Staff
66,Dance,Faculty/Staff
66,Classical Music,Faculty/Staff
66,Jazz,Faculty/Staff
66,Theater,Faculty/Staff
66,Workshop,Faculty/Staff
67,Dance,Student
67,Classical Music,Student
67,Jazz,Student
67,Opera,Student
68,Classical Music,Faculty/Staff
68,Jazz,Faculty/Staff
68,Workshop,Faculty/Staff
69,Classical Music,Community
69,Jazz,Community
69,Workshop,Community
70,Jazz,Faculty/Staff
70,Workshop,Faculty/Staff
71,Classical Music,Faculty/Staff
71,Jazz,Faculty/Staff
72,Jazz,Faculty/Staff
72,World Music,Faculty/Staff
72,Lecture/Talk,Faculty/Staff
72,Workshop,Faculty/Staff
73,Jazz,Faculty/Staff
73,Lecture/Talk,Faculty/Staff
73,Workshop,Faculty/Staff
74,Family/Youth,Student
75,Jazz,Faculty/Staff
76,Dance,Student
76,Classical Music,Student
76,Jazz,Student
77,Dance,Student
77,World Music,Student
77,Opera,Student
77,Film,Student
77,Lecture/Talk,Student
77,Workshop,Student
78,Jazz,Faculty/Staff
78,World Music,Faculty/Staff
80,Classical Music,Other
80,Jazz,Other
80,Workshop,Other
81,Classical Music,Faculty/Staff
81,Jazz,Faculty/Staff
81,Theater,Faculty/Staff
81,Lecture/Talk,Faculty/Staff
82,Jazz,Faculty/Staff
83,Dance,Faculty/Staff
83,Classical Music,Faculty/Staff
83,Jazz,Faculty/Staff
83,World Music,Faculty/Staff
83,Theater,Faculty/Staff
83,Film,Faculty/Staff
83,Lecture/Talk,Faculty/Staff
83,Workshop,Faculty/Staff
84,Classical Music,Faculty/Staff
84,Jazz,Faculty/Staff
85,Dance,Faculty/Staff
85,Classical Music,Faculty/Staff
85,Jazz,Faculty/Staff
85,World Music,Faculty/Staff
85,Opera,Faculty/Staff
85,Workshop,Faculty/Staff
86,Dance,Faculty/Staff
86,Classical Music,Faculty/Staff
86,Jazz,Faculty/Staff
86,World Music,Faculty/Staff
86,Lecture/Talk,Faculty/Staff
86,Workshop,Faculty/Staff
87,Jazz,Faculty/Staff
88,Jazz,Faculty/Staff
88,World Music,Faculty/Staff
88,Opera,Faculty/Staff
88,Workshop,Faculty/Staff
89,Dance,Faculty/Staff
89,Classical Music,Faculty/Staff
89,Jazz,Faculty/Staff
89,World Music,Faculty/Staff
89,Workshop,Faculty/Staff
91,Classical Music,Faculty/Staff
91,Jazz,Faculty/Staff
91,Workshop,Faculty/Staff
92,Classical Music,Faculty/Staff
92,Jazz,Faculty/Staff
92,World Music,Faculty/Staff
92,Opera,Faculty/Staff
92,Lecture/Talk,Faculty/Staff
92,Workshop,Faculty/Staff
93,Jazz,Faculty/Staff
94,Classical Music,Faculty/Staff
94,World Music,Faculty/Staff
94,Opera,Faculty/Staff
94,Film,Faculty/Staff
94,Lecture/Talk,Faculty/Staff
95,Classical Music,Student
95,Jazz,Student
96,Classical Music,Faculty/Staff
96,Jazz,Faculty/Staff
96,Workshop,Faculty/Staff
98,Dance,Faculty/Staff
99,Classical Music,Community
99,Jazz,Community
99,Workshop,Community
100,Dance,Faculty/Staff
100,Classical Music,Faculty/Staff
100,Jazz,Faculty/Staff
100,World Music,Faculty/Staff
101,Jazz,Other
101,World Music,Other
102,Jazz,Community
103,Dance,Community
103,Classical Music,Community
103,Jazz,Community
103,Theater,Community
103,Workshop,Community
104,Jazz,Student
104,World Music,Student
105,Classical Music,Student
105,Jazz,Student
105,Opera,Student
106,Classical Music,Community
107,Dance,Student
107,Classical Music,Student
107,Jazz,Student
108,Classical Music,Student
109,Dance,Faculty/Staff
109,Jazz,Faculty/Staff
109,World Music,Faculty/Staff
110,Jazz,Student
110,Workshop,Student
111,Classical Music,Community
111,Jazz,Community
112,Jazz,Other
113,Jazz,Faculty/Staff
113,World Music,Faculty/Staff
114,Dance,Community
114,Classical Music,Community
114,Jazz,Community
114,World Music,Community
114,Theater,Community
114,Opera,Community
114,Workshop,Community
115,Jazz,Community
115,World Music,Community
116,Jazz,Faculty/Staff
116,Workshop,Faculty/Staff
117,Dance,Faculty/Staff
117,Jazz,Faculty/Staff
118,Jazz,Community
118,World Music,Community
119,Dance,Community
119,Classical Music,Community
119,Jazz,Community
119,Lecture/Talk,Community
119,Workshop,Community
120,Jazz,Other
121,Classical Music,Other
121,Jazz,Other
122,Jazz,Community
122,World Music,Community
122,Theater,Community
123,Jazz,Community
123,Lecture/Talk,Community
