record_id,patron_type
2,Attended ticketed performances
3,Attended ticketed performances
6,Attended ticketed performances
7,Attended ticketed performances
7,Attended free student events
8,Attended ticketed performances
8,Attended free student events
8,Outreach/community events
8,Visited as guest
9,Attended ticketed performances
9,Attended free student events
10,Attended ticketed performances
11,Attended ticketed performances
11,Attended free student events
11,Outreach/community events
12,Attended ticketed performances
12,Pre/post-performance workshops
13,Attended ticketed performances
13,Visited as guest
14,Attended ticketed performances
15,Attended ticketed performances
15,Donated/sponsored
16,Attended ticketed performances
17,Attended ticketed performances
17,Attended free student events
17,Donated/sponsored
18,Attended ticketed performances
19,Attended ticketed performances
19,Attended free student events
20,Attended ticketed performances
21,Attended ticketed performances
22,Attended ticketed performances
22,Outreach/community events
23,Attended ticketed performances
23,Outreach/community events
24,Attended ticketed performances
25,Attended ticketed performances
26,Attended ticketed performances
26,Attended free student events
26,Outreach/community events
26,Pre/post-performance workshops
26,Other
27,Attended ticketed performances
27,Donated/sponsored
28,Attended ticketed performances
29,Attended ticketed performances
30,Attended ticketed performances
30,Donated/sponsored
31,Attended ticketed performances
31,Attended free student events
31,Outreach/community events
31,Pre/post-performance workshops
31,Donated/sponsored
31,Visited as guest
33,Attended ticketed performances
33,Attended free student events
33,Outreach/community events
34,Attended ticketed performances
34,Attended free student events
34,Outreach/community events
34,Pre/post-performance workshops
34,Donated/sponsored
35,Attended ticketed performances
35,Attended free student events
35,Outreach/community events
35,Pre/post-performance workshops
36,Attended ticketed performances
36,Outreach/community events
36,Visited as guest
37,Attended ticketed performances
38,Attended ticketed performances
38,Outreach/community events
38,Pre/post-performance workshops
38,Donated/sponsored
39,Attended ticketed performances
40,Attended ticketed performances
40,Outreach/community events
41,Attended ticketed performances
42,Attended ticketed performances
42,Outreach/community events
42,Pre/post-performance workshops
42,Visited as guest
43,Attended ticketed performances
43,Outreach/community events
43,Pre/post-performance workshops
43,Visited as guest
45,Attended ticketed performances
45,Outreach/community events
46,Attended ticketed performances
46,Visited as guest
47,Attended ticketed performances
48,Attended ticketed performances
48,Attended free student events
48,Pre/post-performance workshops
48,Visited as guest
49,Attended ticketed performances
49,Outreach/community events
50,Attended ticketed performances
50,Attended free student events
50,Outreach/community events
50,Donated/sponsored
50,Visited as guest
51,Attended ticketed performances
51,Attended free student events
51,Outreach/community events
51,Pre/post-performance workshops
51,Donated/sponsored
52,Attended ticketed performances
52,Outreach/community events
53,Attended ticketed performances
53,Outreach/community events
53,Pre/post-performance workshops
54,Attended ticketed performances
54,Outreach/community events
54,Visited as guest
56,Attended ticketed performances
56,Outreach/community events
56,Pre/post-performance workshops
57,Attended ticketed performances
58,Attended ticketed performances
58,Outreach/community events
58,Pre/post-performance workshops
59,Attended ticketed performances
59,Outreach/community events
60,Attended ticketed performances
60,Attended free student events
60,Outreach/community events
60,Pre/post-performance workshops
61,Attended ticketed performances
61,Attended free student events
61,Visited as guest
62,Attended ticketed performances
63,Attended ticketed performances
63,Outreach/community events
63,Visited as guest
64,Attended ticketed performances
64,Attended free student events
65,Attended ticketed performances
66,Attended ticketed performances
66,Attended free student events
66,Outreach/community events
66,Visited as guest
67,Attended ticketed performances
67,Outreach/community events
67,Pre/post-performance workshops
67,Other
68,Attended ticketed performances
69,Attended ticketed performances
69,Other
70,Attended ticketed performances
70,Visited as guest
71,Attended ticketed performances
72,Attended ticketed performances
72,Outreach/community events
72,Donated/sponsored
72,Visited as guest
73,Attended ticketed performances
73,Outreach/community events
73,Pre/post-performance workshops
74,First-time visitor
75,Attended ticketed performances
75,Attended free student events
76,Attended ticketed performances
77,Attended ticketed performances
77,Pre/post-performance workshops
77,Visited as guest
78,Attended ticketed performances
78,Outreach/community events
78,Pre/post-performance workshops
78,Visited as guest
80,Attended ticketed performances
80,Visited as guest
81,Attended ticketed performances
81,Outreach/community events
81,Visited as guest
82,Attended ticketed performances
83,Attended ticketed performances
83,Attended free student events
83,Pre/post-performance workshops
83,Visited as guest
84,Attended ticketed performances
84,Attended free student events
85,Attended ticketed performances
85,Attended free student events
85,Outreach/community events
85,Pre/post-performance workshops
85,Donated/sponsored
86,Attended ticketed performances
86,Attended free student events
86,Outreach/community events
86,Visited as guest
87,Attended ticketed performances
