record_id,underrep_group
2,None (not underrepresented)
3,None (not underrepresented)
4,Racial/ethnic minority
4,First-generation college student
5,None (not underrepresented)
6,None (not underrepresented)
7,None (not underrepresented)
8,Racial/ethnic minority
8,LGBTQIA+
9,LGBTQIA+
9,Rural background
10,None (not underrepresented)
11,Racial/ethnic minority
12,None (not underrepresented)
13,None (not underrepresented)
14,None (not underrepresented)
15,Rural background
16,None (not underrepresented)
17,None (not underrepresented)
18,None (not underrepresented)
19,LGBTQIA+
20,Racial/ethnic minority
21,None (not underrepresented)
22,None (not underrepresented)
23,None (not underrepresented)
24,LGBTQIA+
25,None (not underrepresented)
26,None (not underrepresented)
27,None (not underrepresented)
28,None (not underrepresented)
29,None (not underrepresented)
30,None (not underrepresented)
32,None (not underrepresented)
33,LGBTQIA+
34,Racial/ethnic minority
35,None (not underrepresented)
36,Racial/ethnic minority
37,None (not underrepresented)
38,Racial/ethnic minority
39,None (not underrepresented)
40,None (not underrepresented)
41,Disability
42,None (not underrepresented)
43,LGBTQIA+
44,LGBTQIA+
45,LGBTQIA+
46,None (not underrepresented)
47,None (not underrepresented)
49,None (not underrepresented)
50,None (not underrepresented)
51,Veteran
52,None (not underrepresented)
53,Racial/ethnic minority
54,None (not underrepresented)
55,First-generation college student
56,None (not underrepresented)
57,None (not underrepresented)
58,Racial/ethnic minority
59,None (not underrepresented)
60,Rural background
61,None (not underrepresented)
62,Rural background
63,None (not underrepresented)
65,None (not underrepresented)
66,First-generation college student
67,Disability
67,Rural background
69,None (not underrepresented)
70,Rural background
72,None (not underrepresented)
72,Rural background
73,Disability
73,First-generation college student
74,Racial/ethnic minority
75,Racial/ethnic minority
76,Disability
76,LGBTQIA+
77,Racial/ethnic minority
77,Veteran
77,First-generation college student
78,LGBTQIA+
79,Rural background
80,Veteran
80,Rural background
81,LGBTQIA+
82,None (not underrepresented)
83,Racial/ethnic minority
83,Disability
83,LGBTQIA+
83,First-generation college student
83,Rural background
84,None (not underrepresented)
85,None (not underrepresented)
86,None (not underrepresented)
88,Racial/ethnic minority
89,None (not underrepresented)
90,None (not underrepresented)
91,Racial/ethnic minority
91,Disability
91,LGBTQIA+
92,LGBTQIA+
92,Rural background
93,Racial/ethnic minority
94,Racial/ethnic minority
95,LGBTQIA+
95,Rural background
96,Racial/ethnic minority
96,Disability
96,LGBTQIA+
96,First-generation college student
97,Rural background
98,LGBTQIA+
99,None (not underrepresented)
100,First-generation college student
101,Rural background
102,None (not underrepresented)
104,None (not underrepresented)
105,Disability
105,LGBTQIA+
106,None (not underrepresented)
107,None (not underrepresented)
108,LGBTQIA+
109,None (not underrepresented)
110,Disability
110,Veteran
111,None (not underrepresented)
112,Racial/ethnic minority
113,None (not underrepresented)
114,None (not underrepresented)
115,None (not underrepresented)
116,None (not underrepresented)
117,None (not underrepresented)
118,None (not underrepresented)
119,None (not underrepresented)
120,Disability
121,None (not underrepresented)
122,None (not underrepresented)
123,None (not underrepresented)
124,Racial/ethnic minority
124,First-generation college student
126,LGBTQIA+
127,Racial/ethnic minority
127,Other
130,Racial/ethnic minority
130,Veteran
131,First-generation college student
132,Veteran
133,LGBTQIA+
134,Rural background
135,None (not underrepresented)
