record_id,zip_code,academic_standing,attended_event,audience_segment,is_underrepresented,is_underrepresented_label,belonging_score,representation_score,cultural_affirming_score,engagement_score,accessibility_rating,sensory_needs_met,staff_welcoming,patron_services_satisfaction,ticket_experience,mobile_ticket_ease,informed_patron_services,will_call_ready,communication_effectiveness,nps_score,workshop_value,sensory_interest,know_accessibility_nav,attended_workshop,willing_further_research,nps_category,belonging_level
2,61801,,Yes,Student,False,Not Underrepresented,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,10.0,,Yes,Yes,No,,Promoter (9-10),3-Moderately
3,61820,,Yes,Student,False,Not Underrepresented,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,8.0,,Yes,No,No,,Passive (7-8),4-Mostly
4,60609,,No,Student,True,Underrepresented,,,,,,,,,,,,,3.0,,,,,,,,
5,61820,,No,Student,False,Not Underrepresented,,,,,,,,,,,,,3.0,,,,,,,,
6,61801,,Yes,Student,False,Not Underrepresented,5.0,4.0,2.0,3.0,,4.0,5.0,4.0,5.0,3.0,3.0,5.0,,10.0,,Yes,No,No,,Promoter (9-10),5-Completely
7,61820,,Yes,Student,False,Not Underrepresented,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,10.0,,Yes,No,No,,Promoter (9-10),4-Mostly
8,61801,,Yes,Faculty/Staff,True,Underrepresented,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,,5.0,,4.0,5.0,10.0,,Yes,Yes,No,,Promoter (9-10),5-Completely
9,61821,,Yes,Student,True,Underrepresented,3.0,3.0,,,3.0,4.0,3.0,4.0,3.0,,3.0,2.0,2.0,8.0,4.0,Yes,No,Yes,,Passive (7-8),3-Moderately
10,61822,,Yes,Faculty/Staff,False,Not Underrepresented,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,2.0,10.0,,No,Yes,No,,Promoter (9-10),5-Completely
11,61801,,Yes,Faculty/Staff,True,Underrepresented,2.0,1.0,3.0,,3.0,,2.0,,,,,,,7.0,,,,No,,Passive (7-8),2-Slightly
12,61820,,Yes,Community,False,Not Underrepresented,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,8.0,4.0,,,Yes,,Passive (7-8),4-Mostly
13,61821,,Yes,Faculty/Staff,False,Not Underrepresented,5.0,5.0,,,4.0,5.0,,,5.0,5.0,,,3.0,10.0,,No,Yes,No,,Promoter (9-10),5-Completely
14,61801,,Yes,Other,False,Not Underrepresented,3.0,3.0,3.0,,3.0,4.0,4.0,4.0,4.0,3.0,,4.0,3.0,8.0,,No,Yes,No,,Passive (7-8),3-Moderately
